speciesid,,species,lol_location,class,maxlevel,behavior,habitat,senses,herd,activity,silver,gold,diamond,maxscore,maxweightkg,maxweightlbs,trackweight,lol_fur,lol_rest,lol_feed,lol_drink,lol_none,lol_active,caller,scent,ammo,weapon
rooseveltelk,"[""Ronda Ibex""]",Ronda Ibex,"[[""Cuatro Colinas""]]","[""4""]","[""110+ (Highest yet)""]","[""Docile and vocal""]","[""Forests and mountainous terrain""]","[""Highly tuned senses in general, particularly excellent hearing and smell""]","[""Males are solitary, females live in medium to large-sized groups""]","[""During dawn and dusk""]","[""69.2""]","[""91.4""]","[""107.9""]","[""110+""]","[""70 KG""]","[""154 LBS""]","[""61-70 KG""]","[[""Albino (Rare)"",""Melanistic (Rare)""]]","[[""04:00 - 08:00"",""11:00 - 17:00""]]","[[""00:00 - 04:00"",""17:00 - 21:00""]]","[[""08:00 - 11:00"",""21:00 - 00:00""]]",,,"[""None""]","[""Yes""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
scrubhare,"[""Roosevelt Elk""]",Roosevelt Elk,"[[""Layton Lake""]]","[""8""]","[""420""]","[""Jumpy when threatened but otherwise docile""]","[""Scrub, tall grasslands and savanna woodlands""]","[""Very good hearing and vision""]","[""Typically solitary. During mating season, groups of males can be found with females in medium-sized groups""]","[""During dusk, dawn and night""]","[""128.7""]","[""272.7""]","[""380.8""]","[""420""]","[""500 KG""]","[""1102 LBS""]","[""440-500 KG""]","[[""Albino (Rare)"",""Melanistic (Rare)"",""Piebald (Rare)""]]","[[""00:00 - 05:00"",""13:00 - 17:00"",""21:00 - 00:00""]]","[[""09:00 - 13:00""]]","[[""05:00 - 09:00"",""17:00 - 21:00""]]",,,"[""Elk Caller""]","[""No""]","["".270"",""6.5mm"",""7mm"","".338"","".303"",""45-70"",""9.3x74R"","".30-06"","".300"","".50"","".44"","".454"",""10G"",""12G"",""540 Grain"",""600 Grain"",""700 Grain""]","["".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Rangemaster 338"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"",""Eckers .30-06"",""M1 Iwaniec"","".300 Canning Magnum"","".44 Panther Magnum"",""Hudzik .50 Caplock"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
siberianmuskdeer,"[""Scrub Hare""]",Scrub Hare,"[[""Vurhonga Savanna""]]","[""1""]","[""5.8""]","[""Docile and somewhat skittish""]","[""Prefer forests and mountainous terrain""]","[""Excellent hearing and good sense of smell""]","[""Mostly Solitary""]","[""During dusk and dawn""]","[""2.3""]","[""4""]","[""5.3""]","[""5.8""]","[""5.8 KG""]","[""12.8 LBS""]","[""4-5 KG""]","[[""Brown (Common)"",""Chestnut (Common)"",""Grey (Common)"",""Light Grey (Common)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""09:00 - 12:00"",""20:00 - 00:00"",""12:00 - 15:00""]]","[[""04:00 - 09:00"",""15:00 - 20:00""]]","[[""00:00 - 04:00""]]",,,"[""None""]","[""Yes""]","["".22LR"","".410"",""10G"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain""]","[""Virant .22LR"",""Andersson .22LR"",""Mangiafico 410/45 Colt"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
side-stripedjackal,"[""Side-Striped Jackal""]",Side-Striped Jackal,"[[""Vurhonga Savanna""]]","[""2""]","[""31""]","[""Skittish and occasional defensive""]","[""Woodlands, Bush, Grassland, Marshes (Any area with good cover)""]","[""Excellent smell, good hearing, excellent vision""]","[""Mixed familial groups up to 12, or solitary males and females""]","[""Mainly nocturnal, sometimes daytime-active (All times of day/night)""]","[""16.7""]","[""23.8""]","[""29.1""]","[""31""]","[""14 KG""]","[""31 LBS""]","[""12-14 KG""]","[[""Grey (Common)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""04:00 - 11:00""]]","[[""00:00 - 04:00"",""18:00 - 22:00""]]","[[""11:00 - 15:00"",""22:00 - 00:00""]]",,,"[""Predator 'Jackrabbit' Caller""]","[""No""]","["".223"",""30-30"","".45"","".357"","".45"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain"",""420 Grain""]","["".223 Docent"",""Ranger .243"",""Whitlock Model 86"",""Vasquez Cyclone .45"",""Focoso 357"",""Mangiafico 410/45 Colt"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70""]"
sikadeer,"[""Sika Deer""]",Sika Deer,"[[""Te Awaroa""]]","[""4""]","[""220 + (Highest yet)""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""Unknown""]","[""53.2""]","[""136.4""]","[""198.7""]","[""220+""]","[""75 KG""]","[""165 LBS""]","[""62-75 KG""]","[[""Brown (Common)"",""Black (Common)"",""Spotted (Common)"",""Dark Spotted (Common)"",""Red Spotted (Uncommon)"",""Albino (Rare)""]]","[[""00:00 - 05:00"",""12:00 - 15:00""]]","[[""05:00 - 09:00"",""15:00 - 18:00"",""18:00 - 21:00""]]","[[""09:00 - 12:00""]]",,,"[""Deer 'Grunt' Caller"",""Red Deer Caller""]","[""No""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
southeasternspanishibex,"[""Southeastern Ibex""]",Southeastern Ibex,"[[""Cuatro Colinas""]]","[""4""]","[""Unknown yet""]","[""Wary, shy""]","[""Rocky terrain, forests, shrublands""]","[""Excellent sense of vision and hearing, decent sense of smell""]","[""Common herds during rutting season, same-sex groups during the rest of the year""]","[""Dawn to dusk""]","[""49.7""]","[""72.5""]","[""89.6""]","[""Unknown""]","[""87.5 KG""]","[""192 LBS""]","[""74-87 KG""]","[[""Albino (Rare)"",""Melanistic (Rare)""]]","[[""04:00 - 08:00"",""11:00 - 17:00""]]","[[""00:00 - 04:00"",""17:00 - 21:00""]]","[[""08:00 - 11:00"",""21:00 - 00:00""]]",,,"[""None""]","[""No""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
springbok,"[""Springbok""]",Springbok,"[[""Vurhonga Savanna""]]","[""3""]","[""116.6""]","[""Skttish, but distrait when in large groups""]","[""Treeless savannah, edges of dry lake beds""]","[""Excellent hearing and sense of smell but poor vision""]","[""Adult males are solitary or form bachelor groups, females live in herds""]","[""Dawn, morning, dusk and evening""]","[""69.4""]","[""93""]","[""110.6""]","[""116.6""]","[""42 KG""]","[""93 LBS""]","[""38-42 KG""]","[[""Dark Brown (Common)"",""Black Brown (Uncommon)"",""Albino (Rare)""]]","[[""00:00 - 04:00"",""09:00 - 12:00"",""12:00 - 15:00""]]","[[""00:00 - 04:00""]]","[[""15:00 - 19:00""]]",,,"[""Buck 'Snort Wheeze' Caller""]","[""No""]","["".223"","".243"",""30-30"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"",""12G"",""16G"",""20G"",""350 Grain"",""420 Grain""]","["".223 Docent"",""Ranger .243"",""Whitlock Model 86"",""Solokhin MN1890"",""Vasquez Cyclone .45"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Strecker SxS 20G"",""Nordin 20SA"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Houyi Recurve Bow"",""Alexander Longbow"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70""]"
turkey,"[""Turkey""]",Turkey,"[[""Silver Ridge Peaks""],[""Te Awaroa""]]","[""1""]","[""4.8""]","[""Wary, Shy""]","[""Forest and Grasslands""]","[""Strong movement vision, Weak sense of smell""]","[""Highly social and tend to gather when near each other""]","[""Daytime""]","[""3.3""]","[""4""]","[""4.6""]","[""4.8""]","[""11 KG""]","[""24 LBS""]","[""9-11 KG""]","[[""Grey (Common)"",""Light Brown (Rare)"",""Leucistic (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""],[""Grey (Common)"",""Light Brown (Rare)"",""Leucistic (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""00:00 - 05:00"",""21:00 - 00:00""],[""00:00 - 06:00""]]","[[""05:00 - 15:00"",""16:00 - 21:00""],[""06:00 - 09:00"",""09:00 - 13:00"",""16:00 - 20:00""]]","[[""15:00 - 16:00""],[""15:00 - 16:00""]]",,,"[""Wild Turkey Crow Caller"",""Wild Turkey Mouth Caller""]","[""No""]","["".22LR"","".410"",""10G"",""12G"",""16G"",""20G"",""300 Grain"",""350 Grain""]","[""Virant .22LR"",""Andersson .22LR"",""Mangiafico 410/45 Colt"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
warthog,"[""Warthog""]",Warthog,"[[""Vurhonga Savanna""]]","[""4""]","[""63""]","[""Skittish and occasionally defensive""]","[""Grasslands, Savannah, Woodlands""]","[""Poor eyesight, excellent smell, and hearing""]","[""Males prefer solitude, while females prefer larger groups (Males do integrate during mating season)""]","[""Exclusively daylight hours""]","[""24.6""]","[""43.8""]","[""58.1""]","[""63""]","[""150 KG""]","[""331 LBS""]","[""123-150 KG""]","[[""Grey (Common)"",""Red Brown (Common)"",""Red (Rare)"",""Albino (Rare)""]]","[[""00:00 - 04:00"",""13:00 - 16:00"",""16:00 - 20:00""]]","[[""08:00 - 13:00"",""20:00 - 00:00""]]","[[""04:00 - 08:00""]]",,,"[""Wild Boar Caller""]","[""No""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
waterbuffalo,"[""Water Buffalo""]",Water Buffalo,"[[""Parque Fernando""]]","[""9""]","[""Unknown yet""]","[""Aggressive and territorial""]","[""Swamps, floodplains, marshes""]","[""Excellent sense of smell, great sense of hearing and movement, but still is quite bad""]","[""Mixed groups with a higher population of females, some small bachelor groups""]","[""Morning and evening""]","[""84.2""]","[""131.8""]","[""167.5""]","[""Unknown""]","[""1250 KG""]","[""2756 LBS""]","[""1067-1250 KG""]","[[""Black (Common)"",""Brown (Common)"",""Orange (Common)"",""Albino (Rare)""]]","[[""00:00 - 05:00"",""13:00 - 17:00""]]","[[""05:00 - 10:00"",""17:00 - 21:00""]]","[[""10:00 - 13:00"",""21:00 - 00:00""]]",,,"[""None""]","[""No""]","[""7mm"","".338"","".470"",""45-70"",""9.3x74R"","".300"","".454"",""10G"",""600 Grain"",""700 Grain""]","[""7mm Regent Magnum"",""Rangemaster 338"",""King 470DB Zenith"",""Coachmate Lever .45-70"",""Grelck Drilling Rifle"","".300 Canning Magnum"",""Rhino 454"",""Grenkin's Shotgun"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
whitetaildeer,"[""Whitetail Deer""]",Whitetail Deer,"[[""Layton Lake""]]","[""4""]","[""310""]","[""Docile and somewhat skittish""]","[""Prefer to live inside forests""]","[""Excellent sense of smell""]","[""Solitary to small and medium-sized groups""]","[""During dawn, late afternoon and dusk""]","[""111.4""]","[""205.9""]","[""276.8""]","[""310""]","[""100 KG or 110 KG""]","[""220 LBS or 242 LBS""]","[""85-100 KG""]","[[""Albino (Rare)"",""Melanistic (Rare)"",""Brown (Common)""]]","[[""00:00 - 05:00"",""09:00 - 12:00"",""21:00 - 00:00""]]","[[""12:00 - 15:00""]]","[[""05:00 - 09:00"",""15:00 - 21:00""]]",,,"[""Buck 'Snort Wheeze' Caller"",""Deer 'Bleat' Caller"",""Deer 'Grunt' Caller""]","[""Yes""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
wildboar,"[""Wild Boar""]",Wild Boar,"[[""Hirschfelden""],[""Medved Taiga""],[""Cuatro Colinas""]]","[""4""]","[""160""]","[""Easily agitated and aggressive""]","[""Deciduous forests and open fields""]","[""Excellent hearing and sense of smell""]","[""Highly social and vocal animals. Lives in medium-sized groups""]","[""During late evening and early morning""]","[""37.5""]","[""98.5""]","[""144.2""]","[""160""]","[""240 KG""]","[""529 LBS""]","[""186-240 KG""]","[[""Black Gold (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""],[""Black Gold (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""],[""Black Gold (Rare)"",""Albino (Rare)"",""Melanistic (Rare)""]]","[[""07:00 - 11:00"",""11:00 - 15:00"",""15:00 - 19:00""],[""07:00 - 11:00"",""11:00 - 15:00"",""15:00 - 19:00""],[""07:00 - 11:00"",""11:00 - 15:00"",""15:00 - 19:00""]]","[[""05:00 - 09:00"",""17:00 - 21:00""],[""19:00 - 23:00"",""03:00 - 07:00""],[""03:00 - 07:00"",""19:00 - 23:00""]]","[[""23:00 - 03:00""],[""23:00 - 03:00""],[""23:00 - 03:00""]]",,,"[""Wild Boar Caller""]","[""Yes""]","["".223"","".243"","".270"",""6.5mm"",""7mm"",""30-30"","".303"",""45-70"","".30-06"",""7.62x54R"","".45"","".50"","".357"","".44"","".45"","".454"",""10G"",""12G"",""16G"",""20G"",""420 Grain"",""540 Grain""]","["".223 Docent"",""Ranger .243"","".270 Stradivarius"","".270 Huntsman"",""Martensson 6.5 mm"",""7mm Regent Magnum"",""Whitlock Model 86"",""F.L. Sporter .303"",""Coachmate Lever .45-70"",""Eckers .30-06"",""M1 Iwaniec"",""Vasquez Cyclone .45"",""Solokhin MN1890"",""Hudzik .50 Caplock"",""Focoso 357"","".44 Panther Magnum"",""Mangiafico 410/45 Colt"",""Rhino 454"",""Grenkin's Shotgun"",""Caversham Steward 12G"",""Cacciatore 12G"",""Grelck Drilling Rifle"",""Strecker SxS 20G"",""Nordin 20SA"",""Crosspoint CB-165"",""Razorblack Lite CB-60"",""Bearclaw Lite CB-60"",""Hawk Edge CB-70"",""Houyi Recurve Bow"",""Alexander Longbow""]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
